,sample,sex,pop,pop_name,superpop,superpop_name
136,HG01197,male,PUR,Puerto Rican,AMR,American Ancestry
137,HG00117,male,GBR,British,EUR,European Ancestry
138,HG01200,male,PUR,Puerto Rican,AMR,American Ancestry
139,HG00124,female,GBR,British,EUR,European Ancestry
140,HG01205,female,PUR,Puerto Rican,AMR,American Ancestry
141,HG00129,male,GBR,British,EUR,European Ancestry
142,HG01243,male,PUR,Puerto Rican,AMR,American Ancestry
143,HG00131,male,GBR,British,EUR,European Ancestry
144,HG01248,female,PUR,Puerto Rican,AMR,American Ancestry
145,HG00136,male,GBR,British,EUR,European Ancestry
146,HG01250,male,CLM,Colombian,AMR,American Ancestry
147,HG00143,male,GBR,British,EUR,European Ancestry
148,HG01255,male,CLM,Colombian,AMR,American Ancestry
149,HG00410,female,CHS,Southern Han Chinese,EAS,East Asian Ancestry
150,HG00422,female,CHS,Southern Han Chinese,EAS,East Asian Ancestry
151,HG01488,male,CLM,Colombian,AMR,American Ancestry
152,HG00427,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
153,HG01490,female,CLM,Colombian,AMR,American Ancestry
154,HG00446,female,CHS,Southern Han Chinese,EAS,East Asian Ancestry
155,HG01495,female,CLM,Colombian,AMR,American Ancestry
156,HG00453,female,CHS,Southern Han Chinese,EAS,East Asian Ancestry
157,HG01503,male,IBS,Iberian,Spanish,EUR,European Ancestry,West Eurasia (SGDP)
158,HG00458,female,CHS,Southern Han Chinese,EAS,East Asian Ancestry
159,HG00465,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
160,HG01438,female,CLM,Colombian,AMR,American Ancestry
161,HG00472,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
162,HG01440,male,CLM,Colombian,AMR,American Ancestry
163,HG00477,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
164,HG00530,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
165,HG01457,male,CLM,Colombian,AMR,American Ancestry
166,HG01464,male,CLM,Colombian,AMR,American Ancestry
167,HG01596,male,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
168,HG01604,female,IBS,Iberian,EUR,European Ancestry
169,HG00535,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
170,HG01609,male,IBS,Iberian,EUR,European Ancestry
171,HG00542,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
172,HG01611,male,IBS,Iberian,EUR,European Ancestry
173,HG00554,female,PUR,Puerto Rican,AMR,American Ancestry
174,HG01274,male,CLM,Colombian,AMR,American Ancestry
175,HG00559,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
176,HG01279,female,CLM,Colombian,AMR,American Ancestry
177,HG00561,female,CHS,Southern Han Chinese,EAS,East Asian Ancestry
178,HG01281,female,CLM,Colombian,AMR,American Ancestry
179,HG00566,female,CHS,Southern Han Chinese,EAS,East Asian Ancestry
180,HG01286,male,PUR,Puerto Rican,AMR,American Ancestry
181,HG00578,female,CHS,Southern Han Chinese,EAS,East Asian Ancestry
182,HG00580,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
183,HG01325,male,PUR,Puerto Rican,AMR,American Ancestry
184,HG00585,female,CHS,Southern Han Chinese,EAS,East Asian Ancestry
185,HG01344,male,CLM,Colombian,AMR,American Ancestry
186,HG00592,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
187,HG01349,female,CLM,Colombian,AMR,American Ancestry
188,HG00597,female,CHS,Southern Han Chinese,EAS,East Asian Ancestry
189,HG01351,female,CLM,Colombian,AMR,American Ancestry
190,HG01356,male,CLM,Colombian,AMR,American Ancestry
191,HG00693,female,CHS,Southern Han Chinese,EAS,East Asian Ancestry
192,HG01363,female,CLM,Colombian,AMR,American Ancestry
193,HG00698,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
194,HG01375,female,CLM,Colombian,AMR,American Ancestry
195,HG00701,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
196,HG01565,male,PEL,Peruvian,AMR,American Ancestry
197,HG00706,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
198,HG01572,female,PEL,Peruvian,AMR,American Ancestry
199,HG00718,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
200,HG01577,male,PEL,Peruvian,AMR,American Ancestry
201,HG00732,female,PUR,Puerto Rican,AMR,American Ancestry
202,HG01589,male,PJL,Punjabi,SAS,South Asian Ancestry
203,HG00737,female,PUR,Puerto Rican,AMR,American Ancestry
204,HG01508,male,IBS,Iberian,EUR,European Ancestry
205,HG01172,male,PUR,Puerto Rican,AMR,American Ancestry
206,HG01510,female,IBS,Iberian,EUR,European Ancestry
207,HG01177,female,PUR,Puerto Rican,AMR,American Ancestry
208,HG01515,male,IBS,Iberian,EUR,European Ancestry
209,HG01184,female,PUR,Puerto Rican,AMR,American Ancestry
210,HG01522,female,IBS,Iberian,EUR,European Ancestry
211,HG01189,male,PUR,Puerto Rican,AMR,American Ancestry
212,HG01527,male,IBS,Iberian,EUR,European Ancestry
213,HG01191,female,PUR,Puerto Rican,AMR,American Ancestry
214,HG01204,male,PUR,Puerto Rican,AMR,American Ancestry
215,HG01402,male,PUR,Puerto Rican,AMR,American Ancestry
216,HG01242,female,PUR,Puerto Rican,AMR,American Ancestry
217,HG01414,female,PUR,Puerto Rican,AMR,American Ancestry
218,HG01247,male,PUR,Puerto Rican,AMR,American Ancestry
219,HG01919,female,PEL,Peruvian,AMR,American Ancestry
220,HG01254,female,CLM,Colombian,AMR,American Ancestry
221,HG01921,female,PEL,Peruvian,AMR,American Ancestry
222,HG01259,male,CLM,Colombian,AMR,American Ancestry
223,HG01926,male,PEL,Peruvian,AMR,American Ancestry
224,HG01261,male,CLM,Colombian,AMR,American Ancestry
225,HG01933,female,PEL,Peruvian,AMR,American Ancestry
226,HG00612,female,CHS,Southern Han Chinese,EAS,East Asian Ancestry
227,HG01938,male,PEL,Peruvian,AMR,American Ancestry
228,HG01940,female,PEL,Peruvian,AMR,American Ancestry
229,HG00629,female,CHS,Southern Han Chinese,EAS,East Asian Ancestry
230,HG01616,female,IBS,Iberian,EUR,European Ancestry
231,HG00631,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
232,HG01623,female,IBS,Iberian,EUR,European Ancestry
233,HG00636,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
234,HG01628,female,IBS,Iberian,EUR,European Ancestry
235,HG00650,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
236,HG01630,male,IBS,Iberian,EUR,European Ancestry
237,HG00655,female,CHS,Southern Han Chinese,EAS,East Asian Ancestry
238,HG01673,female,IBS,Iberian,EUR,European Ancestry
239,HG00662,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
240,HG01863,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
241,HG00674,male,CHS,Southern Han Chinese,EAS,East Asian Ancestry
242,HG01868,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
243,HG01103,female,PUR,Puerto Rican,AMR,American Ancestry
244,HG01870,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
245,HG01108,female,PUR,Puerto Rican,AMR,American Ancestry
246,HG01882,male,ACB,African Caribbean,AFR,African Ancestry
247,HG01110,male,PUR,Puerto Rican,AMR,American Ancestry
248,HG01767,male,IBS,Iberian,EUR,European Ancestry
249,HG01122,female,CLM,Colombian,AMR,American Ancestry
250,HG01774,male,IBS,Iberian,EUR,European Ancestry
251,HG01134,female,CLM,Colombian,AMR,American Ancestry
252,HG01779,female,IBS,Iberian,EUR,European Ancestry
253,HG01139,male,CLM,Colombian,AMR,American Ancestry
254,HG01781,male,IBS,Iberian,EUR,European Ancestry
255,HG01141,female,CLM,Colombian,AMR,American Ancestry
256,HG01786,female,IBS,Iberian,EUR,European Ancestry
257,HG01064,female,PUR,Puerto Rican,AMR,American Ancestry
258,HG01678,male,IBS,Iberian,EUR,European Ancestry
259,HG01069,male,PUR,Puerto Rican,AMR,American Ancestry
260,HG01680,male,IBS,Iberian,EUR,European Ancestry
261,HG01071,female,PUR,Puerto Rican,AMR,American Ancestry
262,HG01685,female,IBS,Iberian,EUR,European Ancestry
263,HG01083,female,PUR,Puerto Rican,AMR,American Ancestry
264,HG01697,female,IBS,Iberian,EUR,European Ancestry
265,HG01088,male,PUR,Puerto Rican,AMR,American Ancestry
266,HG01700,male,IBS,Iberian,EUR,European Ancestry
267,HG01705,male,IBS,Iberian,EUR,European Ancestry
268,HG01095,female,PUR,Puerto Rican,AMR,American Ancestry
269,HG01748,male,IBS,Iberian,EUR,European Ancestry
270,HG01273,male,CLM,Colombian,AMR,American Ancestry
271,HG01755,female,IBS,Iberian,EUR,European Ancestry
272,HG01278,female,CLM,Colombian,AMR,American Ancestry
273,HG01762,female,IBS,Iberian,EUR,European Ancestry
274,HG01280,male,CLM,Colombian,AMR,American Ancestry
275,HG01887,male,ACB,African Caribbean,AFR,African Ancestry
276,HG01305,male,PUR,Puerto Rican,AMR,American Ancestry
277,HG01894,female,ACB,African Caribbean,AFR,African Ancestry
278,HG01312,female,PUR,Puerto Rican,AMR,American Ancestry
279,HG01914,male,ACB,African Caribbean,AFR,African Ancestry
280,HG01798,female,CDX,Dai Chinese,EAS,East Asian Ancestry
281,HG01343,female,CLM,Colombian,AMR,American Ancestry
282,HG01801,female,CDX,Dai Chinese,EAS,East Asian Ancestry
283,HG01348,female,CLM,Colombian,AMR,American Ancestry
284,HG01806,female,CDX,Dai Chinese,EAS,East Asian Ancestry
285,HG01350,male,CLM,Colombian,AMR,American Ancestry
286,HG01813,female,CDX,Dai Chinese,EAS,East Asian Ancestry
287,HG01355,female,CLM,Colombian,AMR,American Ancestry
288,HG01844,male,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
289,HG01362,male,CLM,Colombian,AMR,American Ancestry
290,HG01849,male,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
291,HG01367,female,CLM,Colombian,AMR,American Ancestry
292,HG01851,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
293,HG00864,female,CDX,Dai Chinese,EAS,East Asian Ancestry
294,HG02018,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
295,HG01052,female,PUR,Puerto Rican,AMR,American Ancestry
296,HG02020,male,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
297,HG01538,female,IBS,Iberian,EUR,European Ancestry
298,HG02025,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
299,HG01552,male,CLM,Colombian,AMR,American Ancestry
300,HG02032,male,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
301,HG01571,male,PEL,Peruvian,AMR,American Ancestry
302,HG02102,female,PEL,Peruvian,AMR,American Ancestry
303,HG01583,male,PJL,Punjabi,SAS,South Asian Ancestry
304,HG02107,male,ACB,African Caribbean,AFR,African Ancestry
305,HG02121,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
306,HG01374,male,CLM,Colombian,AMR,American Ancestry
307,HG02126,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
308,HG01379,female,CLM,Colombian,AMR,American Ancestry
309,HG02133,female,KHV,Kinh Vietnamese,EAS,East Asian Ancestry
310,HG01393,female,PUR,Puerto Rican,AMR,American Ancestry
311,HG01969,female,PEL,Peruvian,AMR,American Ancestry
312,HG01398,male,PUR,Puerto Rican,AMR,American Ancestry
313,HG01971,female,PEL,Peruvian,AMR,American Ancestry
314,HG01413,male,PUR,Puerto Rican,AMR,American Ancestry
315,HG01976,female,PEL,Peruvian,AMR,American Ancestry
316,HG01432,female,CLM,Colombian,AMR,American Ancestry
317,HG01983,female,PEL,Peruvian,AMR,American Ancestry
